feature,dtype,n_unique,unique_ratio,missing_count,missing_pct,most_frequent_non_missing_value,most_frequent_non_missing_pct,minimum,median,maximum,zero_pct,negative_pct,infinite_count
COMMONAREA_MEDI,float64,3202,0.010412635645554143,214865,69.87229725115525,0.0,9.380869114694644,0.0,0.0208,1.0,2.826240362133387,0.0,0.0
COMMONAREA_AVG,float64,3181,0.010344345405530208,214865,69.87229725115525,0.0,9.11210413833301,0.0,0.0211,1.0,2.745267648962151,0.0,0.0
COMMONAREA_MODE,float64,3128,0.010171993847374565,214865,69.87229725115525,0.0,10.459167152386502,0.0,0.019,1.0,3.1511067896758163,0.0,0.0
NONLIVINGAPARTMENTS_MODE,float64,167,0.000543070003999857,213514,69.43296337366793,0.0,63.03924593338085,0.0,0.0,1.0,19.269229393420073,0.0,0.0
NONLIVINGAPARTMENTS_AVG,float64,386,0.001255239649963741,213514,69.43296337366793,0.0,58.03270317137781,0.0,0.0,1.0,17.738877633645625,0.0,0.0
NONLIVINGAPARTMENTS_MEDI,float64,214,0.0006959100650058047,213514,69.43296337366793,0.0,59.67956424141197,0.0,0.0,1.0,18.24227426010777,0.0,0.0
FONDKAPREMONT_MODE,object,4,1.3007664766463638e-05,210295,68.38617155158677,reg oper account,75.94428900592494,,,,,,
LIVINGAPARTMENTS_MODE,float64,736,0.0023934103170293094,210199,68.35495315614726,0.0551,5.0672065110161135,0.0,0.0771,1.0,0.1687744503448657,0.0,0.0
LIVINGAPARTMENTS_AVG,float64,1868,0.006074579445938519,210199,68.35495315614726,0.0504,4.390003288391976,0.0,0.0756,1.0,0.13593009680954504,0.0,0.0
LIVINGAPARTMENTS_MEDI,float64,1097,0.003567352062202653,210199,68.35495315614726,0.0513,4.624301216705031,0.0,0.0761,1.0,0.1408079710969689,0.0,0.0
FLOORSMIN_AVG,float64,305,0.0009918344384428524,208642,67.84862980511267,0.2083,33.2510695971437,0.0,0.2083,1.0,0.7544445564548911,0.0,0.0
FLOORSMIN_MODE,float64,25,8.129790479039775e-05,208642,67.84862980511267,0.2083,34.796548968837556,0.0,0.2083,1.0,0.8185073054297245,0.0,0.0
FLOORSMIN_MEDI,float64,47,0.00015284006100594775,208642,67.84862980511267,0.2083,34.122930342169944,0.0,0.2083,1.0,0.7645254966489003,0.0,0.0
YEARS_BUILD_MEDI,float64,151,0.0004910393449340023,204488,66.49778381911543,0.8256,2.9061471710200637,0.0,0.7585,1.0,0.03284435353532069,0.0,0.0
YEARS_BUILD_MODE,float64,154,0.0005007950935088501,204488,66.49778381911543,0.8301,2.8731448317366026,0.0,0.7648,1.0,0.03349473677364387,0.0,0.0
YEARS_BUILD_AVG,float64,149,0.00048453551255077057,204488,66.49778381911543,0.8232,2.9110004562088077,0.0,0.7552,1.0,0.033169545154482276,0.0,0.0
OWN_CAR_AGE,float64,62,0.0002016188038801864,202929,65.9908100848425,7.0,7.098735920139221,0.0,9.0,91.0,0.6939589152908351,0.0,0.0
LANDAREA_MEDI,float64,3560,0.011576821642152638,182590,59.376737742714894,0.0,12.743253736361378,0.0,0.0487,1.0,5.176725385433366,0.0,0.0
LANDAREA_MODE,float64,3563,0.011586577390727486,182590,59.376737742714894,0.0,13.971229817244499,0.0,0.0458,1.0,5.6755693292272476,0.0,0.0
LANDAREA_AVG,float64,3527,0.011469508407829314,182590,59.376737742714894,0.0,12.487892347963914,0.0,0.0481,1.0,5.072989258920819,0.0,0.0
BASEMENTAREA_MEDI,float64,3772,0.012266227874775212,179943,58.51595552679416,0.0,11.751379656340148,0.0,0.0758,1.0,4.8749475628514105,0.0,0.0
BASEMENTAREA_AVG,float64,3780,0.01229224320430814,179943,58.51595552679416,0.0,11.558541326978553,0.0,0.0763,1.0,4.794950424537659,0.0,0.0
BASEMENTAREA_MODE,float64,3841,0.01249061009199671,179943,58.51595552679416,0.0,13.01109996237301,0.0,0.0746,1.0,5.397530494844087,0.0,0.0
EXT_SOURCE_1,float64,114584,0.3726175649001174,173378,56.381072546998325,0.6227066347478732,0.0037276434583584954,0.0145681324124455,0.5059979305057544,0.962692770561306,0.0,0.0,0.0
NONLIVINGAREA_MODE,float64,3327,0.010819125169506132,169682,55.17916432257708,0.0,48.70237758381763,0.0,0.0011,1.0,21.828812627840954,0.0,0.0
NONLIVINGAREA_AVG,float64,3290,0.010698804270416343,169682,55.17916432257708,0.0,42.61439900166148,0.0,0.0036,1.0,19.100129751456045,0.0,0.0
NONLIVINGAREA_MEDI,float64,3323,0.010806117504739667,169682,55.17916432257708,0.0,44.22436497398951,0.0,0.0031,1.0,19.821729954375616,0.0,0.0
