feature,coefficient,absolute_coefficient,odds_ratio,display_feature,nonzero_count,category_count,category_rate
categorical__NAME_INCOME_TYPE_Pensioner,-1.1127791455809604,1.1127791455809604,0.3286443402657257,NAME_INCOME_TYPE_Pensioner,44134,44134.0,0.17940066989691392
categorical__NAME_EDUCATION_TYPE_Academic degree,-1.0716734525159206,1.0716734525159206,0.3424349889724053,NAME_EDUCATION_TYPE_Academic degree,124,124.0,0.0005040486488244284
categorical__NAME_INCOME_TYPE_Unemployed,0.8550166499764865,0.8550166499764865,2.3514135312289772,NAME_INCOME_TYPE_Unemployed,17,17.0,6.910344379044584e-05
categorical__ORGANIZATION_TYPE_Realtor,0.7044511292308222,0.7044511292308222,2.022736159431066,ORGANIZATION_TYPE_Realtor,324,324.0,0.0013170303404767324
categorical__ORGANIZATION_TYPE_Legal Services,0.6732197180083956,0.6732197180083956,1.9605395539926007,ORGANIZATION_TYPE_Legal Services,250,250.0,0.00101622711456538
categorical__ORGANIZATION_TYPE_Trade: type 4,-0.5924290645330277,0.5924290645330277,0.552982422027884,ORGANIZATION_TYPE_Trade: type 4,52,52.0,0.00021137523982959903
categorical__ORGANIZATION_TYPE_Trade: type 5,-0.5903436200448992,0.5903436200448992,0.5541368394903133,ORGANIZATION_TYPE_Trade: type 5,40,40.0,0.0001625963383304608
categorical__NAME_INCOME_TYPE_Student,-0.5799079435578314,0.5799079435578314,0.559949911189475,NAME_INCOME_TYPE_Student,11,11.0,4.471399304087672e-05
categorical__ORGANIZATION_TYPE_Transport: type 3,0.5506619968290364,0.5506619968290364,1.734400805743191,ORGANIZATION_TYPE_Transport: type 3,964,964.0,0.003918571753764105
numerical__AMT_GOODS_PRICE,-0.5275773951851496,0.5275773951851496,0.5900326555730452,AMT_GOODS_PRICE,246008,,
categorical__FLAG_OWN_CAR_Y,-0.5097992253024217,0.5097992253024217,0.6006161552344413,FLAG_OWN_CAR_Y,83595,83595.0,0.3398060225683718
numerical__EXT_SOURCE_3,-0.4892989576438432,0.4892989576438432,0.6130560218112254,EXT_SOURCE_3,246008,,
categorical__ORGANIZATION_TYPE_Industry: type 12,-0.48454795139893114,0.48454795139893114,0.6159755847384709,ORGANIZATION_TYPE_Industry: type 12,293,293.0,0.0011910181782706253
categorical__ORGANIZATION_TYPE_Military,-0.46386562235493195,0.46386562235493195,0.6288480519100088,ORGANIZATION_TYPE_Military,2113,2113.0,0.008589151572306592
categorical__ORGANIZATION_TYPE_Trade: type 6,-0.420944560729273,0.420944560729273,0.656426492206436,ORGANIZATION_TYPE_Trade: type 6,492,492.0,0.001999934961464668
categorical__ORGANIZATION_TYPE_Transport: type 1,-0.3999486614211946,0.3999486614211946,0.6703544601975271,ORGANIZATION_TYPE_Transport: type 1,160,160.0,0.0006503853533218432
categorical__CODE_GENDER_F,-0.3947592433186139,0.3947592433186139,0.6738422517455209,CODE_GENDER_F,161887,161887.0,0.6580558355825826
numerical__EXT_SOURCE_2,-0.37391242363381516,0.37391242363381516,0.6880371649852742,EXT_SOURCE_2,246008,,
numerical__AMT_CREDIT,0.3495979403638476,0.3495979403638476,1.418497113493143,AMT_CREDIT,246008,,
categorical__ORGANIZATION_TYPE_Industry: type 8,0.34829610070445965,0.34829610070445965,1.4166516591975036,ORGANIZATION_TYPE_Industry: type 8,19,19.0,7.723326070696888e-05
categorical__NAME_HOUSING_TYPE_Office apartment,-0.34345722105022,0.34345722105022,0.7093138241958596,NAME_HOUSING_TYPE_Office apartment,2097,2097.0,0.008524113036974408
categorical__FLAG_OWN_REALTY_N,-0.34150584341357,0.34150584341357,0.7106993146977049,FLAG_OWN_REALTY_N,75318,75318.0,0.30616077525934116
categorical__NAME_TYPE_SUITE___MISSING__,-0.3371165407217093,0.3371165407217093,0.7138256452991569,NAME_TYPE_SUITE___MISSING__,1029,1029.0,0.004182790803551104
categorical__NAME_CONTRACT_TYPE_Cash loans,-0.3260922093261051,0.3260922093261051,0.7217386333303052,NAME_CONTRACT_TYPE_Cash loans,222560,222560.0,0.9046860264706839
categorical__NAME_CONTRACT_TYPE_Revolving loans,-0.3243527744173095,0.3243527744173095,0.7229951431958965,NAME_CONTRACT_TYPE_Revolving loans,23448,23448.0,0.09531397352931611
categorical__FLAG_OWN_REALTY_Y,-0.30893914029655617,0.30893914029655617,0.7342254534098963,FLAG_OWN_REALTY_Y,170690,170690.0,0.6938392247406588
numerical__BASEMENTAREA_AVG,-0.30406145145501207,0.30406145145501207,0.7378155252199079,BASEMENTAREA_AVG,246008,,
numerical__BASEMENTAREA_MEDI,0.29821015557314823,0.29821015557314823,1.3474449311882393,BASEMENTAREA_MEDI,246008,,
categorical__NAME_INCOME_TYPE_Businessman,-0.29343090174806763,0.29343090174806763,0.7457007477020725,NAME_INCOME_TYPE_Businessman,9,9.0,3.658417612435368e-05
numerical__FLAG_EMP_PHONE,-0.28219909213933975,0.28219909213933975,0.754123529519425,FLAG_EMP_PHONE,246008,,
categorical__ORGANIZATION_TYPE_Construction,0.2786219767035104,0.2786219767035104,1.3213077643323865,ORGANIZATION_TYPE_Construction,5399,5399.0,0.021946440766153947
categorical__EMERGENCYSTATE_MODE_Yes,-0.2771353397776102,0.2771353397776102,0.7579519091257271,EMERGENCYSTATE_MODE_Yes,1857,1857.0,0.007548535006991643
categorical__ORGANIZATION_TYPE_Cleaning,0.2759591040098902,0.2759591040098902,1.3177939704361132,ORGANIZATION_TYPE_Cleaning,212,212.0,0.0008617605931514422
categorical__ORGANIZATION_TYPE_Security Ministries,-0.27547712046198264,0.27547712046198264,0.7592098022648716,ORGANIZATION_TYPE_Security Ministries,1598,1598.0,0.0064957237163019085
categorical__ORGANIZATION_TYPE_Advertising,0.274722900639723,0.274722900639723,1.3161659155994447,ORGANIZATION_TYPE_Advertising,331,331.0,0.0013454846996845632
categorical__ORGANIZATION_TYPE_Police,-0.2743609935852186,0.2743609935852186,0.7600576497949735,ORGANIZATION_TYPE_Police,1861,1861.0,0.007564794640824689
