position,transformed_feature,expected_as_categorical,fitted_as_categorical
0,categorical__NAME_CONTRACT_TYPE,True,True
1,categorical__CODE_GENDER,True,True
2,categorical__FLAG_OWN_CAR,True,True
3,categorical__FLAG_OWN_REALTY,True,True
4,categorical__NAME_TYPE_SUITE,True,True
5,categorical__NAME_INCOME_TYPE,True,True
6,categorical__NAME_EDUCATION_TYPE,True,True
7,categorical__NAME_FAMILY_STATUS,True,True
8,categorical__NAME_HOUSING_TYPE,True,True
9,categorical__OCCUPATION_TYPE,True,True
10,categorical__WEEKDAY_APPR_PROCESS_START,True,True
11,categorical__ORGANIZATION_TYPE,True,True
12,categorical__FONDKAPREMONT_MODE,True,True
13,categorical__HOUSETYPE_MODE,True,True
14,categorical__WALLSMATERIAL_MODE,True,True
15,categorical__EMERGENCYSTATE_MODE,True,True
16,numerical__CNT_CHILDREN,False,False
17,numerical__AMT_INCOME_TOTAL,False,False
18,numerical__AMT_CREDIT,False,False
19,numerical__AMT_ANNUITY,False,False
20,numerical__AMT_GOODS_PRICE,False,False
21,numerical__REGION_POPULATION_RELATIVE,False,False
22,numerical__OWN_CAR_AGE,False,False
23,numerical__FLAG_MOBIL,False,False
24,numerical__FLAG_EMP_PHONE,False,False
25,numerical__FLAG_WORK_PHONE,False,False
26,numerical__FLAG_CONT_MOBILE,False,False
27,numerical__FLAG_PHONE,False,False
28,numerical__FLAG_EMAIL,False,False
29,numerical__CNT_FAM_MEMBERS,False,False
30,numerical__REGION_RATING_CLIENT,False,False
31,numerical__REGION_RATING_CLIENT_W_CITY,False,False
32,numerical__HOUR_APPR_PROCESS_START,False,False
33,numerical__REG_REGION_NOT_LIVE_REGION,False,False
34,numerical__REG_REGION_NOT_WORK_REGION,False,False
35,numerical__LIVE_REGION_NOT_WORK_REGION,False,False
36,numerical__REG_CITY_NOT_LIVE_CITY,False,False
37,numerical__REG_CITY_NOT_WORK_CITY,False,False
38,numerical__LIVE_CITY_NOT_WORK_CITY,False,False
39,numerical__EXT_SOURCE_1,False,False
40,numerical__EXT_SOURCE_2,False,False
41,numerical__EXT_SOURCE_3,False,False
42,numerical__APARTMENTS_AVG,False,False
43,numerical__BASEMENTAREA_AVG,False,False
44,numerical__YEARS_BEGINEXPLUATATION_AVG,False,False
45,numerical__YEARS_BUILD_AVG,False,False
46,numerical__COMMONAREA_AVG,False,False
47,numerical__ELEVATORS_AVG,False,False
48,numerical__ENTRANCES_AVG,False,False
49,numerical__FLOORSMAX_AVG,False,False
50,numerical__FLOORSMIN_AVG,False,False
51,numerical__LANDAREA_AVG,False,False
52,numerical__LIVINGAPARTMENTS_AVG,False,False
53,numerical__LIVINGAREA_AVG,False,False
54,numerical__NONLIVINGAPARTMENTS_AVG,False,False
55,numerical__NONLIVINGAREA_AVG,False,False
56,numerical__APARTMENTS_MODE,False,False
57,numerical__BASEMENTAREA_MODE,False,False
58,numerical__YEARS_BEGINEXPLUATATION_MODE,False,False
59,numerical__YEARS_BUILD_MODE,False,False
60,numerical__COMMONAREA_MODE,False,False
61,numerical__ELEVATORS_MODE,False,False
62,numerical__ENTRANCES_MODE,False,False
63,numerical__FLOORSMAX_MODE,False,False
64,numerical__FLOORSMIN_MODE,False,False
65,numerical__LANDAREA_MODE,False,False
66,numerical__LIVINGAPARTMENTS_MODE,False,False
67,numerical__LIVINGAREA_MODE,False,False
68,numerical__NONLIVINGAPARTMENTS_MODE,False,False
69,numerical__NONLIVINGAREA_MODE,False,False
70,numerical__APARTMENTS_MEDI,False,False
71,numerical__BASEMENTAREA_MEDI,False,False
72,numerical__YEARS_BEGINEXPLUATATION_MEDI,False,False
73,numerical__YEARS_BUILD_MEDI,False,False
74,numerical__COMMONAREA_MEDI,False,False
75,numerical__ELEVATORS_MEDI,False,False
76,numerical__ENTRANCES_MEDI,False,False
77,numerical__FLOORSMAX_MEDI,False,False
78,numerical__FLOORSMIN_MEDI,False,False
79,numerical__LANDAREA_MEDI,False,False
80,numerical__LIVINGAPARTMENTS_MEDI,False,False
81,numerical__LIVINGAREA_MEDI,False,False
82,numerical__NONLIVINGAPARTMENTS_MEDI,False,False
83,numerical__NONLIVINGAREA_MEDI,False,False
84,numerical__TOTALAREA_MODE,False,False
85,numerical__OBS_30_CNT_SOCIAL_CIRCLE,False,False
86,numerical__DEF_30_CNT_SOCIAL_CIRCLE,False,False
87,numerical__OBS_60_CNT_SOCIAL_CIRCLE,False,False
88,numerical__DEF_60_CNT_SOCIAL_CIRCLE,False,False
89,numerical__DAYS_LAST_PHONE_CHANGE,False,False
90,numerical__FLAG_DOCUMENT_2,False,False
91,numerical__FLAG_DOCUMENT_3,False,False
92,numerical__FLAG_DOCUMENT_4,False,False
93,numerical__FLAG_DOCUMENT_5,False,False
94,numerical__FLAG_DOCUMENT_6,False,False
95,numerical__FLAG_DOCUMENT_7,False,False
96,numerical__FLAG_DOCUMENT_8,False,False
97,numerical__FLAG_DOCUMENT_9,False,False
98,numerical__FLAG_DOCUMENT_10,False,False
99,numerical__FLAG_DOCUMENT_11,False,False
100,numerical__FLAG_DOCUMENT_12,False,False
101,numerical__FLAG_DOCUMENT_13,False,False
102,numerical__FLAG_DOCUMENT_14,False,False
103,numerical__FLAG_DOCUMENT_15,False,False
104,numerical__FLAG_DOCUMENT_16,False,False
105,numerical__FLAG_DOCUMENT_17,False,False
106,numerical__FLAG_DOCUMENT_18,False,False
107,numerical__FLAG_DOCUMENT_19,False,False
108,numerical__FLAG_DOCUMENT_20,False,False
109,numerical__FLAG_DOCUMENT_21,False,False
110,numerical__AMT_REQ_CREDIT_BUREAU_HOUR,False,False
111,numerical__AMT_REQ_CREDIT_BUREAU_DAY,False,False
112,numerical__AMT_REQ_CREDIT_BUREAU_WEEK,False,False
113,numerical__AMT_REQ_CREDIT_BUREAU_MON,False,False
114,numerical__AMT_REQ_CREDIT_BUREAU_QRT,False,False
115,numerical__AMT_REQ_CREDIT_BUREAU_YEAR,False,False
116,numerical__AGE_YEARS,False,False
117,numerical__EMPLOYMENT_YEARS,False,False
118,numerical__DAYS_EMPLOYED_ANOMALOUS,False,False
119,numerical__REGISTRATION_YEARS,False,False
120,numerical__ID_PUBLISH_YEARS,False,False
121,numerical__EMPLOYMENT_START_AGE,False,False
122,numerical__EXT_SOURCE_AVAILABLE_COUNT,False,False
123,numerical__CREDIT_INCOME_RATIO,False,False
124,numerical__ANNUITY_INCOME_RATIO,False,False
125,numerical__CREDIT_GOODS_RATIO,False,False
126,numerical__ANNUITY_CREDIT_RATIO,False,False
127,numerical__INCOME_PER_PERSON,False,False
128,numerical__EMPLOYED_AGE_RATIO,False,False
129,numerical__missingindicator_AMT_ANNUITY,False,False
130,numerical__missingindicator_AMT_GOODS_PRICE,False,False
131,numerical__missingindicator_OWN_CAR_AGE,False,False
132,numerical__missingindicator_CNT_FAM_MEMBERS,False,False
133,numerical__missingindicator_EXT_SOURCE_1,False,False
134,numerical__missingindicator_EXT_SOURCE_2,False,False
135,numerical__missingindicator_EXT_SOURCE_3,False,False
136,numerical__missingindicator_APARTMENTS_AVG,False,False
137,numerical__missingindicator_BASEMENTAREA_AVG,False,False
138,numerical__missingindicator_YEARS_BEGINEXPLUATATION_AVG,False,False
139,numerical__missingindicator_YEARS_BUILD_AVG,False,False
140,numerical__missingindicator_COMMONAREA_AVG,False,False
141,numerical__missingindicator_ELEVATORS_AVG,False,False
142,numerical__missingindicator_ENTRANCES_AVG,False,False
143,numerical__missingindicator_FLOORSMAX_AVG,False,False
144,numerical__missingindicator_FLOORSMIN_AVG,False,False
145,numerical__missingindicator_LANDAREA_AVG,False,False
146,numerical__missingindicator_LIVINGAPARTMENTS_AVG,False,False
147,numerical__missingindicator_LIVINGAREA_AVG,False,False
148,numerical__missingindicator_NONLIVINGAPARTMENTS_AVG,False,False
149,numerical__missingindicator_NONLIVINGAREA_AVG,False,False
150,numerical__missingindicator_APARTMENTS_MODE,False,False
151,numerical__missingindicator_BASEMENTAREA_MODE,False,False
152,numerical__missingindicator_YEARS_BEGINEXPLUATATION_MODE,False,False
153,numerical__missingindicator_YEARS_BUILD_MODE,False,False
154,numerical__missingindicator_COMMONAREA_MODE,False,False
155,numerical__missingindicator_ELEVATORS_MODE,False,False
156,numerical__missingindicator_ENTRANCES_MODE,False,False
157,numerical__missingindicator_FLOORSMAX_MODE,False,False
158,numerical__missingindicator_FLOORSMIN_MODE,False,False
159,numerical__missingindicator_LANDAREA_MODE,False,False
160,numerical__missingindicator_LIVINGAPARTMENTS_MODE,False,False
161,numerical__missingindicator_LIVINGAREA_MODE,False,False
162,numerical__missingindicator_NONLIVINGAPARTMENTS_MODE,False,False
163,numerical__missingindicator_NONLIVINGAREA_MODE,False,False
164,numerical__missingindicator_APARTMENTS_MEDI,False,False
165,numerical__missingindicator_BASEMENTAREA_MEDI,False,False
166,numerical__missingindicator_YEARS_BEGINEXPLUATATION_MEDI,False,False
167,numerical__missingindicator_YEARS_BUILD_MEDI,False,False
168,numerical__missingindicator_COMMONAREA_MEDI,False,False
169,numerical__missingindicator_ELEVATORS_MEDI,False,False
170,numerical__missingindicator_ENTRANCES_MEDI,False,False
171,numerical__missingindicator_FLOORSMAX_MEDI,False,False
172,numerical__missingindicator_FLOORSMIN_MEDI,False,False
173,numerical__missingindicator_LANDAREA_MEDI,False,False
174,numerical__missingindicator_LIVINGAPARTMENTS_MEDI,False,False
175,numerical__missingindicator_LIVINGAREA_MEDI,False,False
176,numerical__missingindicator_NONLIVINGAPARTMENTS_MEDI,False,False
177,numerical__missingindicator_NONLIVINGAREA_MEDI,False,False
178,numerical__missingindicator_TOTALAREA_MODE,False,False
