feature,importance_mean,importance_std,display_feature
numerical__EXT_SOURCE_2,0.05725617028942469,0.004075663855083663,EXT_SOURCE_2
numerical__EXT_SOURCE_3,0.053110742070336794,0.0010354808608595812,EXT_SOURCE_3
numerical__ANNUITY_CREDIT_RATIO,0.015785587395378237,0.0030224090400387885,ANNUITY_CREDIT_RATIO
numerical__EXT_SOURCE_1,0.01261394075399767,0.0029975900473382757,EXT_SOURCE_1
numerical__CREDIT_GOODS_RATIO,0.0076752970785415545,0.001686001242073261,CREDIT_GOODS_RATIO
categorical__CODE_GENDER,0.005272804129497327,0.0007890507184155439,CODE_GENDER
numerical__AMT_ANNUITY,0.004465337811022724,0.0018494512423270972,AMT_ANNUITY
numerical__EMPLOYMENT_YEARS,0.002748438595827546,0.0011465701615077028,EMPLOYMENT_YEARS
numerical__AMT_GOODS_PRICE,0.0026815431026220027,0.001029311146729867,AMT_GOODS_PRICE
categorical__NAME_EDUCATION_TYPE,0.002653891351350801,0.0003686381884845065,NAME_EDUCATION_TYPE
categorical__FLAG_OWN_CAR,0.0024736016078318545,0.0008637154714273544,FLAG_OWN_CAR
categorical__OCCUPATION_TYPE,0.002225175655567241,0.0008745696213207101,OCCUPATION_TYPE
numerical__FLAG_DOCUMENT_3,0.0021778054201443296,0.0007527456775381804,FLAG_DOCUMENT_3
numerical__OWN_CAR_AGE,0.0020405393810719484,0.0005992420979100258,OWN_CAR_AGE
categorical__NAME_FAMILY_STATUS,0.0015239227348010365,0.0012803662717821263,NAME_FAMILY_STATUS
numerical__AGE_YEARS,0.0014415211767415004,0.0015637315719442396,AGE_YEARS
categorical__ORGANIZATION_TYPE,0.0012949518161668948,0.0014844087809276713,ORGANIZATION_TYPE
numerical__missingindicator_AMT_REQ_CREDIT_BUREAU_HOUR,0.0012515750554427274,0.0003482549520160092,missingindicator_AMT_REQ_CREDIT_BUREAU_HOUR
numerical__CREDIT_INCOME_RATIO,0.0012230709892821156,0.00011195440166516095,CREDIT_INCOME_RATIO
numerical__AMT_CREDIT,0.0009752114086612418,0.000546781040453991,AMT_CREDIT
numerical__DEF_30_CNT_SOCIAL_CIRCLE,0.0009052404426533323,0.00024043320320747105,DEF_30_CNT_SOCIAL_CIRCLE
numerical__ANNUITY_INCOME_RATIO,0.0008409359448823039,0.0005573072508101469,ANNUITY_INCOME_RATIO
numerical__DEF_60_CNT_SOCIAL_CIRCLE,0.000768155269960813,0.0003193919083026143,DEF_60_CNT_SOCIAL_CIRCLE
numerical__REGION_RATING_CLIENT_W_CITY,0.0006343282353693414,0.0008599271454854602,REGION_RATING_CLIENT_W_CITY
numerical__EMPLOYED_AGE_RATIO,0.0005791478522253646,0.00020292152389240995,EMPLOYED_AGE_RATIO
categorical__NAME_CONTRACT_TYPE,0.000516565966922794,0.0006210090532141986,NAME_CONTRACT_TYPE
