sample,scenario,policy,policy_type,eligible_for_selection,review_cost,default_loss,review_effectiveness,expected_residual_defaults,expected_cost,expected_cost_per_application,savings_vs_no_review,savings_rate_vs_no_review
development_oof,low_effectiveness,no_review,no_review,True,1.0,10.0,0.2,19860.0,198600.0,0.8072908198107379,0.0,0.0
development_oof,low_effectiveness,review_top_10pct,capacity_based,True,1.0,10.0,0.2,18516.8,209769.0,0.8526917823810608,-11169.0,-0.056238670694864046
development_oof,low_effectiveness,review_top_20pct,capacity_based,True,1.0,10.0,0.2,17784.2,227044.0,0.9229130759975286,-28444.0,-0.14322255790533736
development_oof,low_effectiveness,review_top_30pct,capacity_based,True,1.0,10.0,0.2,17265.0,246453.0,1.0018088842639263,-47853.0,-0.24095166163141993
development_oof,low_effectiveness,oof_max_f1,diagnostic_comparator,False,1.0,10.0,0.2,18119.2,217761.0,0.8851785307794868,-19161.0,-0.09648036253776435
development_oof,moderate_value,no_review,no_review,True,1.0,10.0,0.5,19860.0,198600.0,0.8072908198107379,0.0,0.0
development_oof,moderate_value,review_top_10pct,capacity_based,True,1.0,10.0,0.5,16502.0,189621.0,0.7707920067640077,8979.0,0.04521148036253776
development_oof,moderate_value,review_top_20pct,capacity_based,True,1.0,10.0,0.5,14670.5,195907.0,0.7963440213326396,2693.0,0.013559919436052366
development_oof,moderate_value,review_top_30pct,capacity_based,True,1.0,10.0,0.5,13372.5,207528.0,0.8435823225260967,-8928.0,-0.0449546827794562
development_oof,moderate_value,oof_max_f1,diagnostic_comparator,False,1.0,10.0,0.5,15508.0,191649.0,0.779035641117362,6951.0,0.035
development_oof,base_case,no_review,no_review,True,1.0,15.0,0.5,19860.0,297900.0,1.2109362297161068,0.0,0.0
development_oof,base_case,review_top_10pct,capacity_based,True,1.0,15.0,0.5,16502.0,272131.0,1.1061876036551657,25769.0,0.0865021819402484
development_oof,base_case,review_top_20pct,capacity_based,True,1.0,15.0,0.5,14670.5,269259.5,1.0945152190172678,28640.5,0.09614132259147365
development_oof,base_case,review_top_30pct,capacity_based,True,1.0,15.0,0.5,13372.5,274390.5,1.1153722643166075,23509.5,0.07891742195367572
development_oof,base_case,oof_max_f1,diagnostic_comparator,False,1.0,15.0,0.5,15508.0,269189.0,1.0942286429709602,28711.0,0.09637797918764686
development_oof,high_default_loss,no_review,no_review,True,1.0,25.0,0.5,19860.0,496500.0,2.018227049526845,0.0,0.0
development_oof,high_default_loss,review_top_10pct,capacity_based,True,1.0,25.0,0.5,16502.0,437151.0,1.7769787974374818,59349.0,0.11953474320241692
development_oof,high_default_loss,review_top_20pct,capacity_based,True,1.0,25.0,0.5,14670.5,415964.5,1.690857614386524,80535.5,0.16220644511581067
development_oof,high_default_loss,review_top_30pct,capacity_based,True,1.0,25.0,0.5,13372.5,408115.5,1.6589521478976292,88384.5,0.17801510574018126
development_oof,high_default_loss,oof_max_f1,diagnostic_comparator,False,1.0,25.0,0.5,15508.0,424269.0,1.724614646678157,72231.0,0.14548036253776436
holdout,low_effectiveness,no_review,no_review,True,1.0,10.0,0.2,4965.0,49650.0,0.8072776937710355,0.0,0.0
holdout,low_effectiveness,review_top_10pct,capacity_based,True,1.0,10.0,0.2,4625.0,52373.0,0.8515519568151148,-2723.0,-0.05484390735146022
holdout,low_effectiveness,review_top_20pct,capacity_based,True,1.0,10.0,0.2,4438.8,56666.0,0.9213534299139879,-7016.0,-0.1413091641490433
holdout,low_effectiveness,review_top_30pct,capacity_based,True,1.0,10.0,0.2,4314.8,61625.0,1.0019836430743216,-11975.0,-0.24118831822759315
holdout,low_effectiveness,oof_max_f1,diagnostic_comparator,False,1.0,10.0,0.2,4522.2,54337.0,0.8834853584377997,-4687.0,-0.09440080563947634
holdout,moderate_value,no_review,no_review,True,1.0,10.0,0.5,4965.0,49650.0,0.8072776937710355,0.0,0.0
holdout,moderate_value,review_top_10pct,capacity_based,True,1.0,10.0,0.5,4115.0,47273.0,0.7686291725606881,2377.0,0.04787512588116818
holdout,moderate_value,review_top_20pct,capacity_based,True,1.0,10.0,0.5,3649.5,48773.0,0.7930182267531665,877.0,0.01766364551863041
holdout,moderate_value,review_top_30pct,capacity_based,True,1.0,10.0,0.5,3339.5,51872.0,0.843406012714827,-2222.0,-0.04475327291037261
holdout,moderate_value,oof_max_f1,diagnostic_comparator,False,1.0,10.0,0.5,3858.0,47695.0,0.7754906264735053,1955.0,0.039375629405840884
holdout,base_case,no_review,no_review,True,1.0,15.0,0.5,4965.0,74475.0,1.2109165406565534,0.0,0.0
holdout,base_case,review_top_10pct,capacity_based,True,1.0,15.0,0.5,4115.0,67848.0,1.1031656992341836,6627.0,0.08898288016112789
holdout,base_case,review_top_20pct,capacity_based,True,1.0,15.0,0.5,3649.5,67020.5,1.0897110710046665,7454.5,0.100093991272239
holdout,base_case,review_top_30pct,capacity_based,True,1.0,15.0,0.5,3339.5,68569.5,1.114896834300766,5905.5,0.07929506545820746
holdout,base_case,oof_max_f1,diagnostic_comparator,False,1.0,15.0,0.5,3858.0,66985.0,1.0891338633887777,7490.0,0.10057066129573683
holdout,high_default_loss,no_review,no_review,True,1.0,25.0,0.5,4965.0,124125.0,2.0181942344275887,0.0,0.0
holdout,high_default_loss,review_top_10pct,capacity_based,True,1.0,25.0,0.5,4115.0,108998.0,1.772238752581175,15127.0,0.12186908358509567
holdout,high_default_loss,review_top_20pct,capacity_based,True,1.0,25.0,0.5,3649.5,103515.5,1.6830967595076662,20609.5,0.16603826787512588
holdout,high_default_loss,review_top_30pct,capacity_based,True,1.0,25.0,0.5,3339.5,101964.5,1.6578784774726436,22160.5,0.1785337361530715
holdout,high_default_loss,oof_max_f1,diagnostic_comparator,False,1.0,25.0,0.5,3858.0,105565.0,1.7164203372193227,18560.0,0.14952668680765357
