risk_decile,customers,defaults,mean_predicted_pd,observed_default_rate,minimum_predicted_pd,maximum_predicted_pd,population_share,default_share,cumulative_population_share,cumulative_default_share,decile_lift,cumulative_lift
1,24601,6716,0.27280203104452444,0.27299703264094954,0.1807351525932542,0.7711465358866902,0.10000081298169165,0.33816717019133935,0.10000081298169165,0.33816717019133935,3.3816442097650916,3.381644209765091
2,24601,3663,0.14489298830395836,0.1488963863257591,0.1175973922816744,0.1807307735386182,0.10000081298169165,0.18444108761329306,0.2000016259633833,0.5226082578046324,1.844395881532092,2.6130200456485917
3,24601,2596,0.10021158392473306,0.10552416568432177,0.0855938143106337,0.1175962973394045,0.10000081298169165,0.13071500503524672,0.30000243894507495,0.6533232628398791,1.3071394235482694,2.177726504948484
4,24601,1951,0.07491306492267953,0.07930571927970408,0.06561715876444,0.085592860370986,0.10000081298169165,0.09823766364551863,0.4000032519267666,0.7515609264853977,0.9823686499779174,1.8788870412058425
5,24600,1512,0.058369019975720464,0.06146341463414634,0.0518201286847293,0.0656163338392946,0.09999674807323339,0.07613293051359517,0.5,0.8276938569989929,0.7613540638125414,1.6553877139979858
6,24601,1121,0.046369045605928964,0.045567253363684404,0.0413812533000203,0.0518200060067539,0.10000081298169165,0.056445115810674726,0.6000008129816916,0.8841389728096676,0.56444656925948,1.4735629580499354
7,24601,876,0.037154027378444775,0.03560830860534125,0.0332314548968888,0.0413810270956168,0.10000081298169165,0.044108761329305135,0.7000016259633832,0.9282477341389728,0.44108402736066415,1.326065111436654
8,24601,685,0.029765755318268878,0.02784439656924515,0.0265287135635414,0.0332313787306078,0.10000081298169165,0.03449144008056395,0.8000024389450748,0.9627391742195367,0.3449115967375056,1.2034202989294072
9,24601,462,0.02341779753849532,0.018779724401447095,0.020246560649845,0.0265282522633526,0.10000081298169165,0.02326283987915408,0.9000032519267664,0.9860020140986908,0.23262650758062423,1.0955538349309455
10,24600,278,0.016204813012843083,0.011300813008130082,0.0054249933948936,0.0202465019660519,0.09999674807323339,0.013997985901309164,0.9999999999999998,1.0,0.13998441120362864,1.0000000000000002
