,missing_count,missing_pct,dtype
COMMONAREA_MEDI,171811,69.839598712237,float64
COMMONAREA_AVG,171811,69.839598712237,float64
COMMONAREA_MODE,171811,69.839598712237,float64
NONLIVINGAPARTMENTS_MODE,170729,69.39977561705311,float64
NONLIVINGAPARTMENTS_AVG,170729,69.39977561705311,float64
NONLIVINGAPARTMENTS_MEDI,170729,69.39977561705311,float64
FONDKAPREMONT_MODE,168215,68.37785763064616,object
LIVINGAPARTMENTS_MODE,168119,68.33883450944684,float64
LIVINGAPARTMENTS_AVG,168119,68.33883450944684,float64
LIVINGAPARTMENTS_MEDI,168119,68.33883450944684,float64
FLOORSMIN_AVG,166921,67.85185847614711,float64
FLOORSMIN_MODE,166921,67.85185847614711,float64
FLOORSMIN_MEDI,166921,67.85185847614711,float64
YEARS_BUILD_MEDI,163543,66.47873239894638,float64
YEARS_BUILD_MODE,163543,66.47873239894638,float64
YEARS_BUILD_AVG,163543,66.47873239894638,float64
OWN_CAR_AGE,162418,66.02143019739195,float64
LANDAREA_MEDI,145985,59.341566127930804,float64
LANDAREA_MODE,145985,59.341566127930804,float64
LANDAREA_AVG,145985,59.341566127930804,float64
BASEMENTAREA_MEDI,143829,58.46517186432961,float64
BASEMENTAREA_AVG,143829,58.46517186432961,float64
BASEMENTAREA_MODE,143829,58.46517186432961,float64
EXT_SOURCE_1,138595,56.33759877727553,float64
NONLIVINGAREA_MODE,135624,55.129914474326036,float64
NONLIVINGAREA_AVG,135624,55.129914474326036,float64
NONLIVINGAREA_MEDI,135624,55.129914474326036,float64
ELEVATORS_MEDI,131017,53.257211147604956,float64
ELEVATORS_AVG,131017,53.257211147604956,float64
ELEVATORS_MODE,131017,53.257211147604956,float64
WALLSMATERIAL_MODE,124975,50.80119345712335,object
APARTMENTS_MEDI,124732,50.702416181587594,float64
APARTMENTS_AVG,124732,50.702416181587594,float64
APARTMENTS_MODE,124732,50.702416181587594,float64
ENTRANCES_MEDI,123775,50.31340444213196,float64
ENTRANCES_AVG,123775,50.31340444213196,float64
ENTRANCES_MODE,123775,50.31340444213196,float64
LIVINGAREA_AVG,123462,50.186172807388374,float64
LIVINGAREA_MODE,123462,50.186172807388374,float64
LIVINGAREA_MEDI,123462,50.186172807388374,float64
HOUSETYPE_MODE,123328,50.13170303404767,object
FLOORSMAX_MODE,122297,49.71261097200091,float64
FLOORSMAX_MEDI,122297,49.71261097200091,float64
FLOORSMAX_AVG,122297,49.71261097200091,float64
YEARS_BEGINEXPLUATATION_MODE,119949,48.758170466001104,float64
YEARS_BEGINEXPLUATATION_MEDI,119949,48.758170466001104,float64
YEARS_BEGINEXPLUATATION_AVG,119949,48.758170466001104,float64
TOTALAREA_MODE,118707,48.25330883548503,float64
EMERGENCYSTATE_MODE,116581,47.38910929725863,object
OCCUPATION_TYPE,76940,31.275405677864132,object
EXT_SOURCE_3,48805,19.838785730545347,float64
