,feature,n_categories,n_rare_categories,rare_observation_count,rare_observation_share_pct,smallest_category_count
0,ORGANIZATION_TYPE,58,29,11677,4.7465936067119765,19
1,OCCUPATION_TYPE,19,5,3554,1.4446684660661442,424
2,NAME_INCOME_TYPE,8,4,40,0.01625963383304608,3
3,NAME_TYPE_SUITE,8,3,1947,0.791437676823518,221
4,HOUSETYPE_MODE,4,2,2202,0.8950928425091866,993
5,NAME_HOUSING_TYPE,6,1,882,0.35852492601866603,882
6,NAME_EDUCATION_TYPE,5,1,124,0.05040486488244284,124
7,CODE_GENDER,3,1,2,0.000812981691652304,2
8,NAME_FAMILY_STATUS,6,1,2,0.000812981691652304,2
9,NAME_CONTRACT_TYPE,2,0,0,0.0,23448
10,FLAG_OWN_CAR,2,0,0,0.0,83595
11,FLAG_OWN_REALTY,2,0,0,0.0,75318
12,WEEKDAY_APPR_PROCESS_START,7,0,0,0.0,12961
13,FONDKAPREMONT_MODE,5,0,0,0.0,4495
14,WALLSMATERIAL_MODE,8,0,0,0.0,1308
15,EMERGENCYSTATE_MODE,3,0,0,0.0,1857
